Profiling results for generate_all_legal_moves (top 30 by cumtime):
         25991 function calls in 0.005 seconds

   Ordered by: cumulative time
   List reduced from 35 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 /home/john/keisei/keisei/shogi/shogi_rules_logic.py:454(generate_all_legal_moves)
       30    0.000    0.000    0.003    0.000 /home/john/keisei/keisei/shogi/shogi_rules_logic.py:335(is_king_in_check_after_simulated_move)
       30    0.000    0.000    0.002    0.000 /home/john/keisei/keisei/shogi/shogi_rules_logic.py:215(check_if_square_is_attacked)
      620    0.001    0.000    0.002    0.000 /home/john/keisei/keisei/shogi/shogi_rules_logic.py:75(generate_piece_potential_moves)
       30    0.000    0.000    0.001    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:669(make_move)
     6547    0.001    0.000    0.001    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:128(get_piece)
       30    0.000    0.000    0.001    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:630(_board_state_hash)
      300    0.000    0.000    0.001    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:635(<genexpr>)
     2700    0.000    0.000    0.001    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:636(<genexpr>)
       32    0.000    0.000    0.001    0.000 /home/john/keisei/keisei/shogi/shogi_rules_logic.py:27(find_king)
     8558    0.001    0.000    0.001    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:143(is_on_board)
     2491    0.000    0.000    0.000    0.000 /home/john/miniconda/lib/python3.12/enum.py:202(__get__)
     2491    0.000    0.000    0.000    0.000 /home/john/miniconda/lib/python3.12/enum.py:1286(value)
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:842(undo_move)
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_move_execution.py:80(revert_last_applied_move)
      960    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      120    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:134(set_piece)
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_core_definitions.py:225(__init__)
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_rules_logic.py:356(can_promote_specific_piece)
      300    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       51    0.000    0.000    0.000    0.000 /home/john/miniconda/lib/python3.12/enum.py:1261(__hash__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:641(<genexpr>)
       61    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_game.py:648(<genexpr>)
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_move_execution.py:29(apply_move_to_board)
       30    0.000    0.000    0.000    0.000 /home/john/keisei/keisei/shogi/shogi_rules_logic.py:378(must_promote_specific_piece)
      120    0.000    0.000    0.000    0.000 /home/john/miniconda/lib/python3.12/typing.py:2187(cast)
       62    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}


